"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",199,0.904534303887077,3.75738324324526,1e-10,2.5e-10,3.68421052631579e-11,2789,"tags=79%, list=5%, signal=75%","CTHRC1/COL1A2/COL5A2/SPARC/NTM/BGN/COL1A1/FAP/LOX/COL5A1/COL3A1/COL11A1/PRRX1/LUM/CDH11/COL12A1/VCAN/THY1/POSTN/ADAM12/THBS2/COL6A3/PCOLCE/SPOCK1/GAS1/FN1/SFRP4/MMP2/MMP14/SNAI2/FSTL1/LGALS1/THBS1/EFEMP2/PDGFRB/FBN1/COL6A2/LRRC15/FBLN2/TIMP3/CCN2/SERPINH1/NNMT/MFAP5/VEGFC/COL8A2/CALD1/CCN1/DCN/NID2/VIM/GREM1/LOXL2/RGS4/P3H1/TIMP1/PMP22/SERPINE1/HTRA1/ECM2/IGFBP3/TGFBI/COMP/BMP1/COL5A3/PTHLH/FSTL3/DPYSL3/PLOD2/CDH2/ACTA2/CALU/TAGLN/COL16A1/SGCD/MXRA5/ITGA5/LOXL1/MYL9/MATN3/ECM1/FERMT2/EMP3/GEM/ITGB5/FOXC2/TGFB1/DAB2/COL4A1/SLIT2/TPM4/GPX7/GLIPR1/GADD45B/COL4A2/IL6/PMEPA1/IGFBP4/MYLK/FZD8/LAMA2/MGP/BASP1/TNC/COL7A1/FBLN1/TNFRSF12A/SPP1/FLNA/ITGB1/PDLIM4/GJA1/PLAUR/WNT5A/FBLN5/TPM2/ELN/VCAM1/CDH6/ITGAV/PLOD1/SCG2/LAMC1/TPM1/SERPINE2/GPC1/ENO2/WIPF1/SFRP1/PTX3/FGF2/CAP2/SGCB/RHOB/MMP1/SGCG/TGM2/CXCL8/OXTR/FMOD/SLIT3/MSX1/COLGALT1/LAMA1/CRLF1/ITGB3/CXCL12/LRP1/CD59/BDNF/EDIL3/IL32/NOTCH2/TFPI2/TNFAIP3/CAPG/PCOLCE2",NA
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",198,0.794921322218192,3.27480469642604,1e-10,2.5e-10,3.68421052631579e-11,6066,"tags=65%, list=11%, signal=58%","TNFAIP6/GFPT2/MSC/PLAU/CCN1/OLR1/SERPINE1/SPSB1/SPHK1/SLC2A3/GEM/ACKR3/EGR2/GADD45B/IL6/PMEPA1/DNAJB4/TNC/CCL2/PLAUR/CEBPB/SOD2/PTGS2/BHLHE40/DENND5A/SOCS3/MARCKS/CCL4/DRAM1/ICAM1/LIF/G0S2/DUSP1/PLK2/RCAN1/NINJ1/NR4A3/BCL2A1/PTX3/NFIL3/RHOB/KLF6/PNRC1/ABCA1/PANX1/IFIT2/LITAF/EDN1/FJX1/JUNB/GPR183/NFKBIA/KLF10/PHLDA1/TLR2/CD80/CSF2/KLF9/PFKFB3/TRIP10/TNFSF9/EGR3/EGR1/BCL6/IER3/MAP3K8/CLCF1/PDE4B/CDKN1A/MAFF/CD83/TNFRSF9/RELB/TNFAIP3/PLEK/TGIF1/PDLIM5/DUSP5/CXCL10/IL1A/ZFP36/PLPP3/ATF3/FOSB/TSC22D1/JUN/CD69/CSF1/RIPK2/CEBPD/MCL1/CXCL1/SLC2A6/IRS2/IL15RA/SERPINB2/CCL5/IL7R/CD44/TNF/IFNGR2/ZBTB10/IER5/PTPRE/PER1/CXCL11/TNFAIP8/JAG1/BTG3/IL6ST/PPP1R15A/HBEGF/FOSL1/KLF2/IL18/CXCL6/AREG/STAT5A/RNF19B/TRAF1/NFKBIE/NR4A2/IL23A/NR4A1/B4GALT1/SERPINB8/NAMPT/GADD45A",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",198,0.757725037255456,3.1215686901938,1e-10,2.5e-10,3.68421052631579e-11,7193,"tags=66%, list=13%, signal=57%","TNFAIP6/PDPN/MMP14/OLR1/AXL/RGS16/TIMP1/SERPINE1/SPHK1/HAS2/CLEC5A/ITGA5/PTGIR/EMP3/IL1R1/C5AR1/MSR1/IL6/CCL7/HRH1/OSM/CCL2/CD14/MARCO/PLAUR/BEST1/AQP9/C3AR1/NLRP3/FPR1/BDKRB1/P2RX7/SCN1B/CALCRL/ICAM1/LIF/RGS1/TPBG/KLF6/ABCA1/EDN1/IL10/CXCL8/SELE/OSMR/LCP2/PCDH7/GPR183/NFKBIA/ADM/DCBLD2/VIP/TLR2/ITGB3/CD70/MEFV/CYBB/CSF3R/TNFSF9/SCARF1/STAB1/CMKLR1/GPR132/PDE4B/CDKN1A/APLNR/TNFRSF9/KCNJ2/IFITM1/PTAFR/EREG/GNA15/CXCL10/IL1A/HIF1A/PIK3R5/CD69/CSF1/RIPK2/IL15RA/GABBR1/CCL5/IRF7/SGMS2/IL7R/ADGRE1/TLR1/RHOG/NOD2/IL10RA/IFNGR2/NMUR1/CD40/PTPRE/CXCL11/BST2/CD55/LPAR1/HBEGF/CSF3/CXCL9/IL18/CXCL6/ROS1/CHST2/GPC3/IL2RB/SELL/IL4R/SLC31A2/LY6E/IL15/SRI/CCL22/PROK2/NAMPT/SELENOS/LAMP3/EIF2AK2/IFNAR1/LTA/ADORA2B/P2RY2/SLC7A2/CD48/ITGB8/RNF144B/PVR/CX3CL1/FFAR2",NA
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",199,0.725253078111232,3.01265938847952,1e-10,2.5e-10,3.68421052631579e-11,5557,"tags=52%, list=10%, signal=47%","BGN/LOX/COL5A1/CCN2/SDC2/CCN1/DCN/TGFB3/SERPINE1/IGFBP3/TGFBI/CAVIN1/TMEM45A/SLC2A3/ACKR3/HAS1/PDGFB/STC1/IL6/DPYSL4/STC2/SRPX/CAVIN3/PGF/AKAP12/PAM/PLAUR/CHST3/ERRFI1/BHLHE40/CAV1/LXN/S100A4/TPST2/GPC1/ETS1/ENO2/HMOX1/DUSP1/SLC6A6/PIM1/CCN5/NFIL3/TPBG/KLF6/PNRC1/SLC2A5/TGM2/CSRP2/NAGK/KLF7/ADM/ANGPTL4/CDKN1C/BNIP3L/PLIN2/MYH9/SDC3/PFKFB3/NOCT/MT2A/IER3/CXCR4/CDKN1A/MAFF/CITED2/P4HA1/TNFAIP3/NR3C1/RRAGD/PPP1R3C/IDS/PYGM/HEXA/AMPD3/ZFP36/DDIT4/ATF3/KIF5A/RORA/JUN/P4HA2/GAA/GLRX/VLDLR/IRS2/GBE1/RBPJ/LDHA/PPFIA4/TES/KDELR3/DTNA/PPP1R15A/MXI1/SLC2A1/DDIT3/NDST1/GCK/CHST2/GPC3/CCNG2/BCL2",NA
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",197,0.696703335271893,2.89712347663315,1e-10,2.5e-10,3.68421052631579e-11,6357,"tags=51%, list=11%, signal=45%","CDH11/VCAN/THY1/CERCAM/MMP2/FBN1/ADAMTS5/TGFBI/BMP1/LAYN/COL16A1/MYL9/AMIGO2/TRO/TSPAN4/ACTN1/MYH10/NEXN/AKT3/SLIT2/CD276/PARVA/CLDN14/ITGB1/GNAI2/THBS3/NLGN2/MSN/VCAM1/JAM3/CD99/CDH6/VCL/CNN2/CNTN1/CD86/FSCN1/NRXN2/ZYX/RSU1/FLNC/ICAM1/MAP3K20/SGCE/PARD6G/SIRPA/CALB2/CD34/ACTG2/RRAS/MAPK11/ADAM23/PECAM1/MYH9/ACTB/SDC3/EPB41L2/CLDN11/SHC1/SORBS3/SPEG/NEGR1/MMP9/IRS1/CAP1/GNAI1/CD274/YWHAH/CLDN5/ARPC2/CADM3/FYB1/ITGA9/LAMC2/ICAM2/ACTC1/EVL/ARHGEF6/ADRA1B/PKD1/ACTN2/CDH15/DSC3/ALOX15B/ITGA2/NFASC/STX4/VWF/CDH8/MPZL1/CDH3/ICAM5/TRAF1/MYL12B/CLDN6/B4GALT1/DMP1/ACTA1/NLGN3/CD209",NA
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",198,0.703000459542076,2.89612209680563,1e-10,2.5e-10,3.68421052631579e-11,7470,"tags=59%, list=13%, signal=51%","SPARC/COL1A1/COL3A1/AEBP1/ADAM12/COL6A3/COL6A2/SPHK1/IGFBP3/PDLIM7/IGFBP7/TAGLN/SGCD/MRAS/ITGB5/EFS/COX7A1/TGFB1/COL15A1/CRYAB/CNN3/GADD45B/COL4A2/STC2/MYLK/SSPN/LAMA2/WWTR1/SOD3/ITGB1/TPM2/SLN/PTGIS/GJA5/BHLHE40/CACNA1H/SCHIP1/PRNP/HSPB8/SMTN/FGF2/MEF2C/SGCG/IGF1/CDH13/SVIL/CTF1/KIFC3/HSPB2/APP/MYL3/PTP4A3/MYH9/FST/LSP1/SORBS3/CASQ2/FABP3/SPEG/GNAO1/MYH11/CDKN1A/APLNR/APOD/FHL1/CHRNA1/SGCA/ITGA7/CFD/GABARAPL2/PPP1R3C/GPX3/PYGM/GSN/MYBPH/ACTC1/MYF6/MYO1C/MEF2A/MAPK12/ANKRD2/DES/GAA/SORBS1/PPFIA4/ACTN2/PKIA/MYL4/ADCY9/LDB3/DTNA/TEAD4/HBEGF/SH3BGR/TNNI2/ACSL1/FXYD1/TNNT1/TNNT3/MYH2/DMPK/ACTA1/CHRNB1/SCD/BDKRB2/CD36/MEF2D/MYOZ1/HRC/PVALB/REEP1/MYH1/HDAC5/MYL6B/NCAM1/NOS1",NA
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",199,0.679324770994289,2.82187585400191,1e-10,2.5e-10,3.68421052631579e-11,5977,"tags=49%, list=11%, signal=44%","PRRX1/GFPT2/MMP11/PLAU/RGS16/ITGBL1/IGFBP3/HSD11B1/GUCY1A1/ADGRA2/TMEM158/IGF2/MAFB/GPNMB/RETN/NRP1/AKAP12/SPP1/FCER1G/PLAT/PDCD1LG2/PLAUR/SPON1/EMP1/ALDH1A3/GNG11/ETV1/NGF/PTGS2/SCG5/C3AR1/LY96/GYPC/SPARCL1/CSF2RA/SCN1B/LIF/ETS1/G0S2/BPGM/MMD/PEG3/CPE/PRDM1/EPB41L3/ENG/ADGRL4/LAPTM5/LAT2/CFH/FLT4/ANKH/ANGPTL4/ITGB2/PECAM1/DCBLD2/DUSP6/CSF2/F13A1/CMKLR1/MMP9/CXCR4/TFPI/APOD/NIN/TNFAIP3/RBP4/EREG/TLR8/CXCL10/CLEC4A/ABCB1/CCND2/SNAP25/ALDH1A2/GLRX/RELN/IL7R/ADAMDEC1/ADAM8/CD37/PPBP/IL10RA/TMEM176A/LCP1/ITGA2/PPP1R15A/CCSER2/TMEM176B/ETV5/HBEGF/DOCK2/TRAF1/SPRY2/KIF5C/SATB1/NAP1L2/PLVAP",NA
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",138,0.699333697738162,2.77327779542485,1e-10,2.5e-10,3.68421052631579e-11,5118,"tags=46%, list=9%, signal=42%","SPARC/CTSK/FN1/MMP2/MMP14/THBS1/FBN1/MMP11/TIMP3/PLAU/OLR1/TIMP1/SERPINE1/HTRA1/COMP/SERPING1/BMP1/C1R/PRSS23/C1S/PDGFB/PLAT/CTSB/CTSO/CSRP1/A2M/MMP8/DUSP14/MMP1/CFH/C1QA/C3/KLF7/PECAM1/ANXA1/FYN/ITGB3/DUSP6/CRIP2/LRP1/APOC1/MMP9/MAFF/THBD/TFPI2/F8/PLEK/CFD/USP11/LEFTY2/GSN/CPQ/PROS1/ISCU/SERPINB2/LGMN/ARF4/ITGA2/KLK8/MMP3/VWF/C2/CD9/F2RL2",NA
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",199,0.664116260105753,2.7587005783692,1e-10,2.5e-10,3.68421052631579e-11,9082,"tags=55%, list=16%, signal=46%","THY1/TIMP1/BCAT1/TGFB1/IL6/F2R/CCL7/CCL2/FLNA/TGFB2/FCGR2B/KLRD1/IL11/NLRP3/CD86/CCL4/ICAM1/LIF/ETS1/SPI1/INHBB/CCR1/SRGN/DEGS1/FGR/IL10/DYRK3/LY86/CCL11/LCP2/SOCS5/ITGB2/TLR2/CD80/ST8SIA4/STAB1/IL2RA/MMP9/GPR65/APBB1/CARTPT/CAPG/UBE2D1/GBP2/IGSF6/HCLS1/CD4/EREG/CCL13/FYB1/GZMB/HIF1A/HLA-DQA1/CCR5/CSF1/NCF4/CCND2/RIPK2/WAS/CCL5/IRF7/ELANE/TLR1/IFNAR2/TNF/CCR2/TLR6/IFNGR2/CD40/FAS/CXCL9/NCK1/IL18/C2/HLA-DOA/PRF1/IL16/IL2RB/IL4R/IL15/CD2/CCL22/CRTAM/CD7/SOCS1/CD1D/GZMA/HLA-DMB/CXCR3/PTPRC/CCL19/CD8A/IL13/DARS1/WARS1/HLA-DRA/CDKN2A/CD96/IL12RB1/CXCL13/PRKCB/IFNG/MAP3K7/LCK/CD247/KRT1/IL18RAP/STAT4/B2M",NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",87,0.732704208583634,2.73404015326319,1e-10,2.5e-10,3.68421052631579e-11,6558,"tags=57%, list=12%, signal=51%","PDGFC/TGFB1/IL1R1/IL6/CCL7/TNFRSF12A/CD14/SOCS3/CSF2RA/ACVRL1/HMOX1/PIM1/CCR1/A2M/OSMR/IL3RA/TLR2/ITGB3/CSF2/CSF3R/STAT2/IL2RA/MAP3K8/INHBE/CXCL10/PIK3R5/TNFRSF1A/JUN/CSF1/LEPR/CXCL1/ITGA4/STAT3/IL15RA/CRLF2/CSF2RB/IL9R/CD44/TNF/IFNGR2/CXCL11/FAS/IL6ST/CXCL9/CD9/IL4R/IL17RA/IFNAR1/SOCS1/CD36",NA
