CellType,color
Foveolar_Differentiated,#AA0DFE
Foveolar_Intermediate,#3283FE
Neck-Cells,#85660D
Chief,#782AB6
Parietal,#1C8356
Enterocytes,#16FF32
Enterocytes_Intermediate,#FE00FA
Intestinal_Undifferentiated,#C4451C
Goblet,#DEA0FD
Enteroendocrine_CHGA,#F7E1A0
Enteroendocrine_GAST,#1CBE4F
Enteroendocrine_GHRL,#325A9B
SMG,#FEAF16
Superficial,#F8A19F
Suprabasal,#90AD1C
Basal,#F6222E
Cancer,#1CFFCE
T-Cells,#2ED9FF
Plasma-Cells,#B10DA1
B-Cells,#C075A6
Macrophages,#FC1CBF
Mast,#B00068
Fibroblasts,#FBE426
Endothelial,#FA0087
Erythrocyte,#00B5F7
